DATE;TICKER;VALUE;VALUE_D-1;TYPOLOGY;LABEL;ENTITIES;VARV;VARP;DATE_MAJ
2019-12-31;^GSPC;3230,780029;;INDICE;S&P 500;AMERICAS;;;2020/09/26 20:53:47
2020-01-02;^GSPC;3257,850098;3230,780029;INDICE;S&P 500;AMERICAS;27,070068999999876;0,00837880287639969;2020/09/26 20:53:47
2020-01-03;^GSPC;3234,850098;3257,850098;INDICE;S&P 500;AMERICAS;-23,0;-0,007059870561300454;2020/09/26 20:53:47
2020-01-06;^GSPC;3246,280029;3234,850098;INDICE;S&P 500;AMERICAS;11,429931000000124;0,003533372692313276;2020/09/26 20:53:47
2020-01-07;^GSPC;3237,179932;3246,280029;INDICE;S&P 500;AMERICAS;-9,100097000000005;-0,002803238450998093;2020/09/26 20:53:47
2020-01-08;^GSPC;3253,050049;3237,179932;INDICE;S&P 500;AMERICAS;15,870116999999937;0,004902451310513047;2020/09/26 20:53:47
2020-01-09;^GSPC;3274,699951;3253,050049;INDICE;S&P 500;AMERICAS;21,64990200000011;0,006655262499467345;2020/09/26 20:53:47
2020-01-10;^GSPC;3265,350098;3274,699951;INDICE;S&P 500;AMERICAS;-9,349853000000167;-0,0028551785323553043;2020/09/26 20:53:47
2020-01-13;^GSPC;3288,1298829999996;3265,350098;INDICE;S&P 500;AMERICAS;22,77978499999972;0,006976215203984452;2020/09/26 20:53:47
2020-01-14;^GSPC;3283,149902;3288,1298829999996;INDICE;S&P 500;AMERICAS;-4,979980999999498;-0,0015145329342817503;2020/09/26 20:53:47
2020-01-15;^GSPC;3289,290039;3283,149902;INDICE;S&P 500;AMERICAS;6,140136999999868;0,0018701969703727125;2020/09/26 20:53:47
2020-01-16;^GSPC;3316,810059;3289,290039;INDICE;S&P 500;AMERICAS;27,52001999999993;0,00836655316913509;2020/09/26 20:53:47
2020-01-17;^GSPC;3329,6201170000004;3316,810059;INDICE;S&P 500;AMERICAS;12,810058000000481;0,003862162069015988;2020/09/26 20:53:47
2020-01-21;^GSPC;3320,790039;3329,6201170000004;INDICE;S&P 500;AMERICAS;-8,830078000000412;-0,0026519776099732193;2020/09/26 20:53:47
2020-01-22;^GSPC;3321,75;3320,790039;INDICE;S&P 500;AMERICAS;0,9599610000000212;0,0002890760899442764;2020/09/26 20:53:47
2020-01-23;^GSPC;3325,540039;3321,75;INDICE;S&P 500;AMERICAS;3,790038999999979;0,0011409765936629724;2020/09/26 20:53:47
2020-01-24;^GSPC;3295,469971;3325,540039;INDICE;S&P 500;AMERICAS;-30,070067999999992;-0,009042160866312153;2020/09/26 20:53:47
2020-01-27;^GSPC;3243,6298829999996;3295,469971;INDICE;S&P 500;AMERICAS;-51,84008800000038;-0,01573071169095486;2020/09/26 20:53:47
2020-01-28;^GSPC;3276,23999;3243,6298829999996;INDICE;S&P 500;AMERICAS;32,610107000000426;0,010053584464402479;2020/09/26 20:53:47
2020-01-29;^GSPC;3273,399902;3276,23999;INDICE;S&P 500;AMERICAS;-2,8400879999999233;-0,0008668742243146611;2020/09/26 20:53:47
2020-01-30;^GSPC;3283,659912;3273,399902;INDICE;S&P 500;AMERICAS;10,260009999999966;0,00313435886453447;2020/09/26 20:53:47
2020-01-31;^GSPC;3225,52002;3283,659912;INDICE;S&P 500;AMERICAS;-58,139892000000145;-0,017705820200054914;2020/09/26 20:53:47
2020-02-03;^GSPC;3248,919922;3225,52002;INDICE;S&P 500;AMERICAS;23,39990200000011;0,007254613784725513;2020/09/26 20:53:47
